"","","","Year","Flow",""
"","","","2025","",""
"Reporter","Partner","Commodity","","Export","Import"
"ASEAN","  European Union [EU-27]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","3 384 040 932","3 222 056 496","161 984 437"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","1 909 746 445","1 798 740 013","111 006 432"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","107 869 201","59 566 183","48 303 018"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","17 582 978 712","9 239 416 157","8 343 562 555"
"","","[854232] Electronic integrated circuits; memories","1 173 565 085","1 012 647 753","160 917 333"
"","","[854233] Electronic integrated circuits; amplifiers","490 580 813","350 351 730","140 229 083"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","11 297 132 155","7 173 000 283","4 124 131 872"
"","","[854290] Parts of electronic integrated circuits","3 494 195 243","1 647 544 986","1 846 650 257"
""," ASEAN [00]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","12 251 621 813","6 107 538 258","6 144 083 555"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","4 651 866 228","1 857 241 160","2 794 625 068"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","181 414 649","99 213 891","82 200 758"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","56 156 100 446","38 216 496 568","17 939 603 878"
"","","[854232] Electronic integrated circuits; memories","16 051 322 099","8 537 951 637","7 513 370 462"
"","","[854233] Electronic integrated circuits; amplifiers","2 379 567 008","1 310 771 646","1 068 795 362"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","48 069 361 637","31 315 835 255","16 753 526 382"
"","","[854290] Parts of electronic integrated circuits","9 000 340 809","4 194 725 710","4 805 615 099"
""," Extra-ASEAN [88]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","64 967 603 507","40 617 379 888","24 350 223 619"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","18 075 513 825","14 702 443 653","3 373 070 172"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","716 064 630","340 644 958","375 419 672"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","251 009 894 564","123 745 810 578","127 264 083 986"
"","","[854232] Electronic integrated circuits; memories","52 145 758 416","21 891 885 420","30 253 872 996"
"","","[854233] Electronic integrated circuits; amplifiers","12 457 692 459","8 313 393 350","4 144 299 109"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","165 583 384 354","60 205 612 094","105 377 772 261"
"","","[854290] Parts of electronic integrated circuits","33 889 574 820","11 883 574 565","22 006 000 254"
""," WORLD [99]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","77 219 225 320","46 724 918 146","30 494 307 174"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","22 727 380 053","16 559 684 813","6 167 695 240"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","897 479 279","439 858 850","457 620 429"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","307 165 995 009","161 962 307 145","145 203 687 864"
"","","[854232] Electronic integrated circuits; memories","68 197 080 515","30 429 837 057","37 767 243 458"
"","","[854233] Electronic integrated circuits; amplifiers","14 837 259 467","9 624 164 996","5 213 094 471"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","213 652 745 991","91 521 447 349","122 131 298 642"
"","","[854290] Parts of electronic integrated circuits","42 889 915 629","16 078 300 275","26 811 615 353"
"","Afghanistan [AF]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","762","","762"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","738 073","738 073",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","5 162","1 025","4 137"
"","Albania [AL]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","896","48","848"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","26 285","26 285",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","24 280","","24 280"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","1 630","1 617","13"
"","","[854290] Parts of electronic integrated circuits","10","","10"
